CPU Time (Before collecting metrics) 368646
Nodes Depth 1:10000053
Nodes Depth 3:65582
Nodes Depth 4:131492
Nodes Depth 5:200342
Nodes Depth 6:276213
Nodes Depth 7:403522
Nodes Depth 8:590906
Nodes Depth 9:1184964
Nodes Depth 10:2175030
Nodes Depth 11:5047004
Nodes Depth 12:9117421
Nodes Depth 13:10742619
Nodes Depth 14:11571022
Nodes Depth 15:12604518
Nodes Depth 16:14313146
Nodes Depth 17:16298819
Nodes Depth 18:22392712
Nodes Depth 19:28433223
Nodes Depth 20:48599429
Nodes Depth 21:66915228
Nodes Depth 22:87405165
Nodes Depth 23:115849976
Nodes Depth 24:158858354
Nodes Depth 25:222007271
Nodes Depth 26:311750783
Nodes Depth 27:452671733
Nodes Depth 28:632110015
Nodes Depth 29:906320147
Nodes Depth 30:1295388393
Nodes Depth 31:1869358268
Nodes Depth 32:2708980467
Nodes Depth 33:3893665092
Nodes Depth 34:5562491718
Nodes Depth 35:7927988542
Nodes Depth 36:11025396051
Nodes Depth 37:14604831801
Nodes Depth 38:17712749124
Nodes Depth 39:19004800388
Nodes Depth 40:16395478622
Nodes Depth 41:11192984644
Nodes Depth 42:5743849832
Nodes Depth 43:3342351135
Nodes Depth 44:2474365264
Nodes Depth 45:1868583878
Nodes Depth 46:1332408089
Nodes Depth 47:820928455
Nodes Depth 48:381696338

Results Table: 
0: 1
1: 1
2: 2
3: 4
4: 7
5: 12
6: 23
7: 39
8: 67
9: 118
10: 204
11: 343
12: 592
13: 1001
14: 1693
15: 2857
16: 4806
17: 8045
18: 13467
19: 22464
20: 37396
21: 62194
22: 103246
23: 170963
24: 282828
25: 467224
26: 770832
27: 1270267
28: 2091030
29: 3437839
30: 5646773
31: 9266788
32: 15195070
33: 24896206
34: 40761087
35: 66687201
36: 109032500
37: 178158289
38: 290939807
39: 474851445
40: 774614284
41: 1262992840
42: 2058356522
43: 3353191846
44: 5460401576
45: 8888486816
46: 14463633648
47: 23527845502
48: 38260496374
49: 62200036752
=====
cpu = 368651
