CPU Time (Before collecting metrics) 369326
Nodes Depth 1:10000053
Nodes Depth 3:65582
Nodes Depth 4:131492
Nodes Depth 5:200342
Nodes Depth 6:276213
Nodes Depth 7:403522
Nodes Depth 8:590906
Nodes Depth 9:1184964
Nodes Depth 10:2175030
Nodes Depth 11:5047004
Nodes Depth 12:9117421
Nodes Depth 13:10742619
Nodes Depth 14:11571022
Nodes Depth 15:12604518
Nodes Depth 16:14313146
Nodes Depth 17:16298819
Nodes Depth 18:22392712
Nodes Depth 19:28367687
Nodes Depth 20:48599429
Nodes Depth 21:66587548
Nodes Depth 22:87143021
Nodes Depth 23:115391224
Nodes Depth 24:158989426
Nodes Depth 25:222662631
Nodes Depth 26:312340607
Nodes Depth 27:453064949
Nodes Depth 28:632241087
Nodes Depth 29:906123539
Nodes Depth 30:1294864105
Nodes Depth 31:1870800060
Nodes Depth 32:2708390643
Nodes Depth 33:3892354372
Nodes Depth 34:5563605830
Nodes Depth 35:7930151230
Nodes Depth 36:11025920339
Nodes Depth 37:14605487161
Nodes Depth 38:17714125380
Nodes Depth 39:19003030916
Nodes Depth 40:16395282014
Nodes Depth 41:11193443396
Nodes Depth 42:5744111976
Nodes Depth 43:3342023455
Nodes Depth 44:2473840976
Nodes Depth 45:1869829062
Nodes Depth 46:1331818265
Nodes Depth 47:821518279
Nodes Depth 48:382024018

Results Table: 
0: 1
1: 1
2: 2
3: 4
4: 7
5: 12
6: 23
7: 39
8: 67
9: 118
10: 204
11: 343
12: 592
13: 1001
14: 1693
15: 2857
16: 4806
17: 8045
18: 13467
19: 22464
20: 37396
21: 62194
22: 103246
23: 170963
24: 282828
25: 467224
26: 770832
27: 1270267
28: 2091030
29: 3437839
30: 5646773
31: 9266788
32: 15195070
33: 24896206
34: 40761087
35: 66687201
36: 109032500
37: 178158289
38: 290939807
39: 474851445
40: 774614284
41: 1262992840
42: 2058356522
43: 3353191846
44: 5460401576
45: 8888486816
46: 14463633648
47: 23527845502
48: 38260496374
49: 62200036752
=====
cpu = 369332
